id,sentence
0,"Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем."
1,Этим летом не никуда ездили.
2,Только Иван выразил какую бы то ни было готовность помочь.
3,"Теперь ты видишь собственными глазами, как тут хорошо."
4,На поверку вся теория оказалась полной чепухой.
5,Он всегда сидит в библиотеке.
6,"Представляю, как смешно это выглядело снизу."
7,"Мне предоставилась возможность все видеть, сам оставаясь незамеченным."
8,Наш новый сотрудник оказался коренастым мужчиной лет сорока.
9,Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.
10,"Не думаю, что мосты уже сняли."
11,"Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок."
12,"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания."
13,Наблюдается приток иностранного капитала.
14,Последние пять человек пришло.
15,Мы увидели славный город-герой.
16,"У него только одни достоинства, а недостатков нет."
17,План продуман не полностью.
18,Через четверть часа он уже сидел в ресторане.
19,"Как я заметил еще из окна, каждый из них что-то нес."
20,"Придет он или нет, зависит от ряда обстоятельств."
21,Ценность сведений установилась на основе предпочтений.
22,"Они приняли во внимание слухи, что Аня предаст Катю."
23,На повороте дороги показалась коляска.
24,Он немедленно не ушел.
25,Пиво он любит темное.
26,Хорошо бы он не надел второпях мою шляпу.
27,"Занимаясь определённым делом, оно начинает хорошо получаться."
28,"Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента."
29,Он спокойно принял возражения оппонента.
30,"Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру."
31,Сильный прибой и каменистый берег сделали пляж непригодным для купания.
32,"Иван прилег, чтобы он отдохнул."
33,"Мы говорим врагу: сдавайся, или мы тебя уничтожим."
34,"С 23 по 33 год он выпустил множество книг, брошюр и статей."
35,"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций."
36,"Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме."
37,У этого животного есть острые зубы.
38,Он открыл шкаф и взял оттуда два больших полотенца.
39,Звуков с улицы не доносилось.
40,"В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки."
41,"Кому ты хочешь, чтобы мы сообщили?"
42,"Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую."
43,Он живет в небольшом городке у Волги.
44,Сильно этот поезд не опоздал.
45,"Он, я думаю, согласится."
46,Здесь всегда холодно.
47,Иван выучился в колледже на слесаря и решил пойти на завод им.
48,"Истребитель накренился, кончик крыла снёс макушку высокого дереву."
49,"Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине."
50,"В ту минуту он жалел, что остался дома."
51,График проведения ремонтных работ в цехах завода был нарушен вопреки указания директора.
52,"Думаю, что и я потерял в тебе самое дорогое, что имел в жизни."
53,"Его осуждали на пять лет, но тут вышел указ."
54,"Финансовый строй Веймарской республики, сложившийся в результате ноябрьской революции 1918 года, также не способствовал эффективному функционированию СФВ, несмотря на создание хорошо разработанной законодательной базы."
55,Они грелись у костров.
56,Ты должен помогать любому своему родственнику.
57,"Мне захотелось узнать, как разводить и ухаживать за первоцветами в домашних условиях."
58,Она принимает у него заказ уже десять минут.
59,Обидный промах привёл теннисиста к поражению в матче.
60,"Это был клёст-сосновик, с перьями кирпичного и клюквенного цвета, с клювом, скрещенным, как два кривых костяных ножа."
61,Отсутствие жены президента на вечере журналисты объясняют болезнью.
62,"Раз мы затронули тему коррупции, есть ли, на ваш взгляд, свет в конце тоннеля?"
63,У меня есть седые волосы.
64,"Никогда не забуду выражения растерянности и вместе с тем готовности к сопротивлению, которое было написано у него на лице, когда он выскочил на поверхность воды."
65,"Проснешься не торопясь, посердишься на что-нибудь, поворчишь."
66,Сегодня письмо получил Саша.
67,От кого вы получили эти сведения?
68,Он перецеловал всех девушек.
69,Жена не понимает причин обвально обрушившейся на неё нежности.
70,"Доктор, убеждая меня начать приём лекарств, говорил, что я совершенно уверен в успешности лечения и что сомневаться не стоит."
71,"Война была тяжёлым испытанием для всего народа, но все верили и надеялись на победу."
72,"Брат ушел в театр, и я сижу дома."
73,"Полшколы участвовали в организации благотворительной акции, приуроченной к Дню матери."
74,"Я вижу, он не придет, и не видит в том потери."
75,В доме кто-то есть.
76,"Если любой инженер может выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста."
77,"Те, кто мечтает стать инженером, исследователем, лётчиком, космонавтом, должен развивать свою зрительную память."
78,Эту книгу я уже покупал.
79,"Он входит в темный коридор, задевает за что-то железное, сваленное у стены, нашаривает и открывает дверь."
80,Я хочу посоветоваться с хорошим врачом.
81,"Трон достался Глостеру, убийце своего брата."
82,"Отряд партизанов был переодет в немецкое обмундирование, получил немецкое оружие."
83,Он объясняет отсутствие на вечере своей жены.
84,"Опытные садоводы считают, что правильно выращенная живая изгородь намного долговечнее и надёжнее самых крепких заборов."
85,Дело приняло неприятный оборот.
86,"Дети сотрудников, имеющих какие-либо заболевания, получают льготные путёвки в санаторий."
87,"В своих статьях этот журналист поставил вопросы, волнующих многих его современников."
88,Отсутствием на собрании он подтвердил плохое мнение о себе.
89,"У меня сосед есть, — сказал Троекуров, — мелкопоместный грубиян; я хочу взять у него имение — как ты про это думаешь?"
90,"Они касались подвала здания, который было принято решение превратить в эксплуатируемое помещение."
91,Не существует каких-либо доказательств.
92,Зимой сопротивляемость организма болезням ослабляется.
93,Внешне он ничем не отличался от многочисленных остальных гостей-мужчин.
94,Консервация старинной постройки должна предотвратить её дальнейшее разрушение.
95,Две молодые елки посажены по обоим ее концам.
96,"Те, кто добивается в спорте наибольших успехов,становится примером для подражания."
97,"И в подтверждение того, что это — Красавка, лошадь медленно по вернулась в нашу сторону."
98,Он принял таблетку аспирина.
99,Сегодня в овощном были не только яблоки.
100,"Я считаю недопустимым жить так, как они живут."
101,А зачем Вы завязали ногу?
102,Он не отдал мне ключа.
103,У него дача уже три года.
104,"Она стояла совсем рядом со мной, и я смог внимательно ее разглядеть."
105,Спортсмен дрался как лев и тигр.
106,"Шеварднадзе проезжал по улицам Тбилиси стремительно, его автомобиль с четырех сторон облепляли (сам видел) машины охраны."
107,Ты ехал в город?
108,"Но вот внешность новых денег с точки зрения их защищенности от подделок, мягко говоря, озадачивает."
109,Мама идет с рынка.
110,Я видел вашу жену.
111,Ни Кати ни Лены не было дома.
112,Ты хоть кому-то помоги.
113,Я не воспринимаю ненависти.
114,Мне его няня передала.
115,"Когда вы мне позвонили, я говорил с Иваном Сергеевичем."
116,"Все разбежались, когда началась гроза."
117,Его легко было огорчить.
118,Советую вам обратиться к врачу.
119,Он и минуты не держал книги в руках.
120,"Я думаю, вы читали книгу Иванова на эту тему."
121,"Даже неточное, строго говоря, упоминание про песню рекрутов дает нам представление о том, какие разговоры велись в семье Блоков."
122,"Автор Веверлея существовал в действительности, а не только в легендах."
123,Но над святым островом поцарствовала ночь – а ночью обычные птицы не покидают своих укрытий.
124,"Когда узнаете, что такое метранпаж, позвоните в 210 номер."
125,"Принеси из сада мою кофту, я оставила ее в беседке."
126,Откуда я возьму такие деньги?
127,Быть убитым своим же пациентом... какая ужасная трагедия!
128,"Вся бытовая техника, как правило, выходит из строя на другой день после окончания гарантийного срока."
129,За обозом чинно следовали женщины.
130,"Когда у меня возникали некоторые сомнения, он всегда говорил очень убедительно."
131,"Я получил его донесение, но еще не прочел."
132,Солдаты грелись вблизи костров.
133,"Иван знает, что приехала Маша."
134,Правильная и своевременная корневая подкормка растений является гарантией высокого урожая.
135,Эти препараты сейчас появились.
136,Я решил дать вам дело №126 на доследование.
137,"Упреки этого рода, будь они иначе поставлены, были бы для меня самыми драгоценными упреками."
